Cost of Transmitting Data ofver 3G (T-Mobile),,,
Cost of Renting/Buying a Database Server,,,
Load Switch MOSFET,,DMP2104V-7,
maybe relay,,G6DN-1A DC4.5,
Male Headers (Amazon),"10 pieces, 40 pins/piece",,1
Female Headers (Amazon),"10 pieces, 40 pins/piece",,1
90 degree Female Headers,"10 pieces, 8 pins/piece",S5444-ND,1
90 degree Male Headers,"10 pieces, 8 pins/piece",952-1997-ND,1
"3/8"" Plastic Spacers",,492-1046-ND,100
"3/4"" #2-56 Screws",,H702-ND,100
"#2-56 Nuts, 1/16"" thick",,H212-ND,100
